,track_id,artist,title
0,TRAABJS128F9325C99,Beach House,Auburn and Ivory
1,TRAACIE128F428495B,Pearl Jam,Not For You
2,TRAACPH12903CF5F14,Camera Obscura,Double Feature
3,TRAADKW128E079503A,Tracy Chapman,Fast Car (LP Version)
4,TRAADLN128F14832E9,The Rolling Stones,Angie (1993 Digital Remaster)
5,TRAADQL128F427D281,Man Man,The Ballad Of Butter Beans
6,TRAAEEH128E0795DFE,Chris Rea,Driving Home For Christmas
7,TRAAFGQ128F427D884,The Kooks,One Last Time
8,TRAAFJW128F428A424,NOFX,Stickin In My Eye
9,TRAAFOY128F146CC17,Matt Costa,Astair
10,TRAAGCZ128F93210FD,Black Eyed Peas,Let's Get It Started
11,TRAAHMD12903D034F4,MC Esoteric,Waxing on Decepticon
12,TRAAKDG128F42A0ECB,Shakira Featuring Wyclef Jean,Hips Don't Lie (featuring Wyclef Jean)
13,TRAALAH128E078234A,The Verve,Bitter Sweet Symphony
14,TRAALYN128F1452482,The Smiths,The Boy With The Thorn In His Side
15,TRAAMES128F42AF068,Pearl Jam,Inside Job
16,TRAANSZ128F425DD63,Mogwai,Stop Coming To My House
17,TRAAQCK128F92E8C33,Lily Allen,U Killed It
18,TRAAUEO128E0780CB9,Placebo,English Summer Rain
19,TRAAZVF128F145BFED,Huey Lewis & The News,I Want A New Drug
20,TRABCKL128F423A778,Lupe Fiasco,Streets On Fire (Explicit Album Version)
21,TRABFDT12903CADD73,Kid Cudi,Up Up & Away
22,TRABKUJ128F4292445,Christina Aguilera,Pero Me Acuerdo De Tí
23,TRABLMN128E0792687,Weezer,Don't Let Go
24,TRABOVH128F427D3B4,Chromeo,Fancy Footwork
25,TRABPPN128F428A23F,Dropkick Murphys,Fortunate Son (Live)
26,TRABQJG128F4267518,Marc Anthony,You Sang To Me
27,TRABQJT128F145F172,Orishas,Atrevido
28,TRABQZK128F92F54F4,Shakira,Pienso En Ti
29,TRABTKP128F14B144F,Ativin,Interiors
30,TRABVIZ128F42BA066,Metallica,Hit The Lights
31,TRABZFP12903D0945A,Passion Pit,Moth's Wings
32,TRACADL128F932F7A2,Prohom,Mise En Bouche
33,TRACBYL12903CFDBC6,Eric Church,Love Your Love The Most
34,TRACDHL12903D0C387,Darwin Deez,Radar Detector
35,TRACECN128F9310E97,Radiohead,Subterranean Homesick Alien
36,TRACEHO128F1488CEA,Breaking Benjamin,The Diary Of Jane (Acoustic)
37,TRACEXB128E078F3A0,Staind,Everything Changes (Album Version)
38,TRACFXL128F930B28B,Bersuit Vergarabat,Sencillamente
39,TRACFZI128E0795424,Saosin,Bury Your Head
40,TRACOTR128F92E16B1,Neutral Milk Hotel,Someone Is Waiting
41,TRACRRS128F1465A64,Erlend Øye,Prego Amore
42,TRACSSW128F92F2D81,"Bobby ""Boris"" Pickett",Monster Mash
43,TRACWWF128F9346965,Nick Drake,Things Behind The Sun
44,TRACWZP128F4261ED7,Wiz Khalifa,Say Yeah (Album Version)
45,TRACYXW128F4297569,Whitesnake,Fool For Your Loving
46,TRADCIF128F9338278,Muse,City Of Delusion
47,TRADESF128F4214D8E,Guns N' Roses,Mama Kin
48,TRADIFH128F9365DE4,Young Jeezy,Streets On Lock
49,TRADKAX128E0786B92,Death From Above 1979,Romantic Rights
50,TRADKVP128EF344816,Ennio Morricone,Once upon a time in the west
51,TRADLXE128F42AE2B9,Train,Give Myself To You
52,TRADMOG128F932CCFB,Angus & Julia Stone,Paper Aeroplane
53,TRADPGY128F421C349,Maná,Labios compartidos [En vivo]
54,TRADPSL128F932B9F6,Zac Brown Band,Where The Boat Leaves From (Album)
55,TRADPWT128C7196706,DJ Shadow,Building Steam With A Grain Of Salt
56,TRADPZR128F92F61FD,Ludacris / T-Pain,One More Drink
57,TRADTWS128F4241AC1,The Cardigans,Lovefool
58,TRADVZX128F426BF79,Fleet Foxes,Sun Giant
59,TRADZXK128F429DB92,The Killers,Show You How
60,TRAEBSY128E07873C0,Del Tha Funkee Homosapien,Mistadobalina
61,TRAECHJ12903CC36DA,The Black Keys,Next Girl
62,TRAEDQF128F4260069,Bobby Goldsboro,Honey
63,TRAEFGN128E07993CB,Ryan Adams & The Cardinals,Withering Heights
64,TRAEGXU128F9304D31,Local Natives,Camera Talk
65,TRAEHHJ12903CF492F,Dwight Yoakam,You're The One
66,TRAEJVE12903CB0F9E,Kid Cudi / Kanye West / Common,Make Her Say
67,TRAEKYN128E0785C5B,Rilo Kiley,More Adventurous (Album Version)
68,TRAEOHW128F42A52D9,The New Pornographers,Unguided
69,TRAEPDL128F9310CE7,Radiohead,Pop Is Dead
70,TRAETTV12903CBBD09,Jimi Hendrix,Voodoo Chile Blues
71,TRAEUIW12903D018F0,Jack Johnson,You And Your Heart
72,TRAEVAO12903CF4B44,MDC,Beat Somebody Up
73,TRAEVRI128F93608F3,Phil Collins,Welcome
74,TRAEWVG128F428AC7F,Foo Fighters,X-Static
75,TRAEYWB128F148EBD0,Brand New,Luca
76,TRAFAJC128E078888B,Queens Of The Stone Age,This Lullaby
77,TRAFBIV128F93321D4,Ben Kweller,Magic
78,TRAFBQB128F930D723,Blufeld,On A Deeper Level
79,TRAFCQE128F1490856,Skillet,Rebirthing (Album Version)
80,TRAFHRS128F14599C0,Semisonic,Secret Smile
81,TRAFLIC128F423B939,Roadrunner United,Annihilation By The Hands Of God (Album Version)
82,TRAFMVN128F147CBCE,Metallica,Fade To Black
83,TRAFQFV128F9326217,OneRepublic,Good Life
84,TRAFSAP128E0780ECF,Wang Chung,Dance Hall Days
85,TRAFTDN128F427C29D,Hot Chip,Hold On
86,TRAFUBQ128F92EB825,The Smiths,Girlfriend In A Coma
87,TRAFUNV128F92CFEB2,Emmy The Great,Mia
88,TRAFVGR128F9305AF0,Fever Ray,Keep The Streets Empty For Me
89,TRAFXVT128F423D53D,Andres Calamaro,El Novio Del Olvido
90,TRAFYGO128F42727E7,Beyoncé,Be With You
91,TRAFZKE128F92CA976,Tesla,Signs
92,TRAGACS128E078E74D,New Radicals,You Get What You Give
93,TRAGCKB128F1454833,Portishead,Humming
